epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,98.3707,0.69878,0.52255,0.85278,0.97418,1,0.9945,0.76998,0.80836,0.43584,0.95395,0.000911,0.000911,0.000911
68,99.7368,0.67575,0.48672,0.85458,0.99793,0.97436,0.9945,0.77055,0.80838,0.44356,0.96374,0.0008945,0.0008945,0.0008945
69,101.194,0.72885,0.49922,0.83491,0.99749,0.97436,0.9945,0.76499,0.85503,0.45683,0.97334,0.000878,0.000878,0.000878
70,102.595,0.72725,0.52552,0.87187,0.97266,1,0.9945,0.74975,0.81957,0.46938,0.96685,0.0008615,0.0008615,0.0008615
71,104.017,0.68799,0.46757,0.81938,0.97242,1,0.9945,0.74745,0.82827,0.44656,0.96047,0.000845,0.000845,0.000845
72,105.633,0.6945,0.49415,0.84336,1,0.99686,0.995,0.75714,0.79458,0.43254,0.95356,0.0008285,0.0008285,0.0008285
73,106.993,0.71298,0.50745,0.86031,1,0.99959,0.995,0.77517,0.7973,0.43432,0.95771,0.000812,0.000812,0.000812
74,108.39,0.65075,0.46317,0.84427,1,0.99847,0.995,0.77988,0.81014,0.43773,0.97073,0.0007955,0.0007955,0.0007955
75,109.75,0.67323,0.4774,0.86519,1,0.99991,0.995,0.78879,0.80195,0.43848,0.95365,0.000779,0.000779,0.000779
76,111.09,0.62434,0.46422,0.84381,0.99837,1,0.995,0.79241,0.77274,0.45448,0.94327,0.0007625,0.0007625,0.0007625
77,112.572,0.68381,0.4813,0.83901,0.99943,1,0.995,0.77568,0.83049,0.46238,0.97131,0.000746,0.000746,0.000746
78,113.943,0.67388,0.4635,0.84165,1,0.99899,0.995,0.78353,0.78163,0.4358,0.95663,0.0007295,0.0007295,0.0007295
79,115.325,0.65636,0.46493,0.83165,1,0.9984,0.995,0.78316,0.79079,0.42676,0.94704,0.000713,0.000713,0.000713
80,116.706,0.65144,0.4665,0.84173,1,0.99902,0.995,0.77763,0.77805,0.43203,0.93292,0.0006965,0.0006965,0.0006965
81,118.069,0.71945,0.48715,0.85259,1,0.99941,0.995,0.75701,0.79229,0.44394,0.94395,0.00068,0.00068,0.00068
82,119.483,0.6574,0.48229,0.87381,1,0.99905,0.995,0.79063,0.78785,0.44891,0.94659,0.0006635,0.0006635,0.0006635
83,120.814,0.61331,0.46883,0.83304,1,0.99913,0.995,0.79032,0.79077,0.44333,0.95713,0.000647,0.000647,0.000647
84,122.205,0.68245,0.46488,0.84521,1,0.99848,0.995,0.79046,0.7974,0.44285,0.94445,0.0006305,0.0006305,0.0006305
85,123.626,0.63826,0.44995,0.8296,1,0.9984,0.995,0.7994,0.82594,0.458,0.94523,0.000614,0.000614,0.000614
86,125.088,0.67011,0.48728,0.84287,1,0.99912,0.995,0.80989,0.76288,0.44026,0.92726,0.0005975,0.0005975,0.0005975
87,126.69,0.61812,0.44637,0.83292,0.99955,1,0.995,0.8001,0.77197,0.41199,0.93783,0.000581,0.000581,0.000581
88,128.055,0.60377,0.43739,0.83288,0.99952,1,0.995,0.792,0.77473,0.40249,0.93916,0.0005645,0.0005645,0.0005645
89,129.422,0.66061,0.44792,0.83839,0.99909,1,0.995,0.78886,0.7832,0.40361,0.93796,0.000548,0.000548,0.000548
90,130.779,0.62382,0.45437,0.80947,0.999,1,0.995,0.79102,0.79506,0.39449,0.94828,0.0005315,0.0005315,0.0005315
91,132.233,0.61047,0.42679,0.84537,0.9994,1,0.995,0.79588,0.76364,0.39765,0.93695,0.000515,0.000515,0.000515
92,133.606,0.62577,0.43069,0.84162,0.99874,1,0.995,0.77184,0.76829,0.40743,0.93279,0.0004985,0.0004985,0.0004985
93,135.012,0.65013,0.43711,0.83775,0.9985,1,0.995,0.75309,0.84082,0.41153,0.93979,0.000482,0.000482,0.000482
94,136.525,0.65113,0.44857,0.84283,0.99843,1,0.995,0.76417,0.7988,0.40752,0.93286,0.0004655,0.0004655,0.0004655
95,137.893,0.63131,0.45032,0.84975,0.99836,1,0.995,0.78299,0.7413,0.39981,0.92638,0.000449,0.000449,0.000449
96,139.235,0.66477,0.43923,0.82881,0.99826,1,0.995,0.76717,0.79486,0.39643,0.93231,0.0004325,0.0004325,0.0004325
97,140.598,0.60063,0.42793,0.83505,0.99855,1,0.995,0.76463,0.81032,0.39435,0.93252,0.000416,0.000416,0.000416
